City,Latitude,Longitudes,Elevation,Date,Precipitation,Temperature,HCHO_reading
Colombo Proper,6.9,79.867,7.0,2021-08-22,0.0,82,7.405215753568799e-05
Colombo Proper,6.9,79.867,7.0,2023-05-16,0.02,86,0.00015261593547338153
Colombo Proper,6.9,79.867,7.0,2023-06-30,0.07,85,1.325340185282247e-05
Colombo Proper,6.9,79.867,7.0,2023-08-13,0.0,84,8.73280851415647e-05
Colombo Proper,6.9,79.867,7.0,2023-10-01,1.2,78,0.00011127206139713324
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-01-18,0.0,56,2.1021983917616697e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-05-12,0.0,63,0.00015234314287760551
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-10-20,0.44,61,0.00015722655682891073
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-09-23,0.08,61,8.47863731057616e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-06-27,0.05,59,2.4159278216488107e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-08-18,0.01,60,3.511333889729143e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-10-28,0.0,62,0.00013876609105956513
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-03-30,0.0,62,0.00012230097818479528
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-05-13,0.74,61,5.0996640901299714e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-07-10,0.0,62,9.864703426377965e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-07-22,0.0,61,5.4990799197318066e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-09-24,0.0,62,0.00019490335140518082
Colombo Proper,6.9,79.867,7.0,2020-10-05,0.0,83,7.119013827322124e-05
Colombo Proper,6.9,79.867,7.0,2020-11-15,0.07,84,0.00021425007279831038
Colombo Proper,6.9,79.867,7.0,2022-07-16,0.06,83,0.00011577073589558762
Colombo Proper,6.9,79.867,7.0,2023-07-03,0.17,83,0.0001575440085149461
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-04-03,0.0,61,0.00014252761028011639
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-11-09,0.0,60,0.00018560494350428432
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-03-05,0.0,61,0.0001309358481682836
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-08-23,0.78,59,3.602272688205054e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-03-11,0.0,60,5.3120917921163416e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-07-05,1.16,59,0.00018899901618393833
Colombo Proper,6.9,79.867,7.0,2020-12-26,0.0,81,0.00012722333081240932
Colombo Proper,6.9,79.867,7.0,2021-01-02,0.0,82,0.0002394211357954956
Colombo Proper,6.9,79.867,7.0,2021-05-20,0.7,80,7.717007293892581e-05
Colombo Proper,6.9,79.867,7.0,2022-04-27,0.0,84,0.0001578505723947998
Colombo Proper,6.9,79.867,7.0,2022-06-05,0.19,83,0.000123758492939711
Colombo Proper,6.9,79.867,7.0,2023-03-08,0.37,83,0.00011444865075305466
Colombo Proper,6.9,79.867,7.0,2023-03-24,0.05,82,0.0004017217600491957
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-08-30,1.02,59,2.82110260500617e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-01-03,0.08,60,0.00012822691866787626
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-04-19,0.1,61,0.00016566463360652114
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-12-13,0.76,59,4.6230996415153596e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-12-27,0.0,55,8.707561503487014e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-05-12,0.11,61,5.575603834023155e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-08-20,0.0,62,2.189608595367142e-05
